Marque,Modèle,Année,Type de carburant,Puissance fiscale,Kilométrage,Nombre de portes,Première main,État,Boîte à vitesses,Origine,Prix
Renault,Clio,2021,Essence,6,115000,5,Oui,Bon,Automatique,WW au Maroc,140000
Dacia,Duster,2018,Diesel,6,145000,5,Non,Très bon,Manuelle,WW au Maroc,155000
Audi,A3,2017,Diesel,8,225000,5,Non,Excellent,Automatique,WW au Maroc,215000
Kia,Sportage,2021,Diesel,8,32000,5,Oui,Excellent,Automatique,WW au Maroc,272000
Mini,Cooper,2017,Essence,9,57000,3,Oui,Bon,Manuelle,WW au Maroc,172000
Volkswagen,Golf 8,2021,Essence,11,115000,5,Oui,Très bon,Automatique,Dédouanée,395000
Audi,A6,2020,Diesel,8,77000,5,Non,Très bon,Automatique,WW au Maroc,370000
Dacia,Duster,2017,Diesel,6,145000,5,Non,Excellent,Manuelle,WW au Maroc,135000
Mercedes-Benz,Classe E,2005,Diesel,11,225000,5,Non,Excellent,Automatique,Dédouanée,62000
Ssangyong,Actyon,2008,Diesel,8,275000,5,Non,Très bon,Manuelle,WW au Maroc,46000
Renault,Express,2022,Diesel,6,82000,5,Oui,Excellent,Manuelle,WW au Maroc,150000
BMW,Série 5,2018,Diesel,8,165000,5,Non,Excellent,Automatique,WW au Maroc,285000
Kia,Picanto,2009,Essence,6,195000,5,Non,Très bon,Manuelle,WW au Maroc,59000
Fiat,500,2017,Essence,6,72000,3,Oui,Très bon,Automatique,WW au Maroc,108000
Citroen,Berlingo,2022,Diesel,6,125000,3,Oui,Bon,Manuelle,WW au Maroc,175000
Peugeot,206,2005,Diesel,6,325000,5,Non,Bon,Manuelle,WW au Maroc,57000
Dacia,Logan,2021,Diesel,6,105000,5,Oui,Très bon,Manuelle,WW au Maroc,126000
Volvo,XC40,2023,Essence,11,22000,5,Oui,Excellent,Automatique,WW au Maroc,330000
Volkswagen,Passat,2008,Diesel,8,22000,5,Oui,Excellent,Manuelle,Dédouanée,100000
Seat,Leon,2014,Diesel,6,155000,5,Non,Très bon,Manuelle,WW au Maroc,135000
Honda,Jazz,2004,Essence,8,165000,5,Non,Bon,Manuelle,WW au Maroc,40000
Renault,Megane,2018,Diesel,6,105000,5,Non,Très bon,Manuelle,WW au Maroc,150000
Volkswagen,Polo,2005,Diesel,8,225000,5,Non,Très bon,Manuelle,WW au Maroc,59000
Hyundai,Accent,2022,Diesel,6,47000,5,Oui,Bon,Automatique,WW au Maroc,205000
Volkswagen,Arteon,2019,Diesel,8,82000,5,Oui,Excellent,Automatique,WW au Maroc,260000
Dacia,Sandero,2009,Essence,7,175000,5,Non,Bon,Manuelle,WW au Maroc,53000
Peugeot,2008,2022,Diesel,6,77000,5,Oui,Excellent,Automatique,WW au Maroc,175000
Kia,Picanto,2008,Essence,6,225000,5,Non,Excellent,Manuelle,WW au Maroc,59000
Dacia,Logan,2019,Diesel,6,67000,5,Non,Excellent,Manuelle,WW au Maroc,115000
Volvo,XC60,2014,Diesel,8,165000,5,Non,Neuf,Automatique,WW au Maroc,145000
Ford,Tourneo,2010,Diesel,7,225000,5,Oui,Excellent,Manuelle,Dédouanée,90000
BMW,Série 1,2010,Diesel,8,185000,5,Non,Excellent,Manuelle,WW au Maroc,92000
Chevrolet,Cruze,2011,Essence,9,185000,5,Non,Excellent,Manuelle,WW au Maroc,69000
BMW,Série 1,2017,Diesel,6,195000,5,Oui,Excellent,Automatique,WW au Maroc,193000
Fiat,Doblo,2020,Diesel,6,225000,5,Oui,Excellent,Manuelle,WW au Maroc,98000
Mercedes-Benz,Classe E,2004,Diesel,9,275000,5,Non,Excellent,Manuelle,Dédouanée,90000
Renault,Clio,2019,Diesel,6,125000,5,Oui,Bon,Automatique,WW au Maroc,135000
Mercedes-Benz,Classe C,2011,Diesel,9,225000,5,Non,Très bon,Automatique,Dédouanée,172000
Audi,A4,2015,Diesel,8,155000,5,Oui,Excellent,Automatique,WW au Maroc,172000
Citroen,Xsara,2002,Diesel,7,225000,5,Non,Bon,Manuelle,WW au Maroc,40000
Renault,Clio,2021,Diesel,6,135000,5,Oui,Très bon,Manuelle,WW au Maroc,155000
Renault,12,2014,Diesel,4,2000,5,Oui,Excellent,Manuelle,WW au Maroc,90000
Fiat,Tipo,2022,Essence,9,17000,5,Non,Excellent,Automatique,WW au Maroc,135000
Ford,Kuga,2021,Diesel,6,57000,5,Oui,Très bon,Automatique,WW au Maroc,275000
Mercedes-Benz,220,2005,Essence,8,2000,5,Oui,Très bon,Manuelle,Dédouanée,80000
Land Rover,Range Rover Sport,2015,Diesel,17,185000,5,Oui,Très bon,Automatique,Importée neuve,300000
Volkswagen,Tiguan,2018,Diesel,8,155000,5,Oui,Bon,Automatique,WW au Maroc,230000
Ford,Focus,2017,Diesel,6,145000,5,Non,Très bon,Manuelle,WW au Maroc,140000
Renault,Espace,1997,Diesel,8,2000,5,Non,Bon,Manuelle,Dédouanée,35000
Volkswagen,Passat CC,2017,Diesel,8,175000,5,Oui,Excellent,Manuelle,WW au Maroc,165000
Mercedes-Benz,Classe E,2016,Diesel,8,155000,5,Non,Très bon,Automatique,WW au Maroc,310000
Peugeot,308,2020,Diesel,6,97000,5,Non,Neuf,Automatique,WW au Maroc,177000
Jeep,Wrangler,2017,Diesel,6,7000,5,Non,Bon,Automatique,WW au Maroc,153000
Mercedes-Benz,Classe GLC,2016,Diesel,8,145000,5,Non,Excellent,Automatique,WW au Maroc,279000
Dacia,Logan,2020,Diesel,6,105000,5,Oui,Excellent,Manuelle,WW au Maroc,123000
Hyundai,Tucson,2024,Diesel,6,22000,5,Oui,Excellent,Automatique,WW au Maroc,310000
Alfa Romeo,Giulia,2018,Diesel,9,175000,5,Oui,Très bon,Automatique,WW au Maroc,260000
Peugeot,405,1998,Diesel,7,225000,5,Oui,Excellent,Manuelle,Dédouanée,30000
BMW,Série 2,2021,Diesel,6,37000,5,Oui,Excellent,Automatique,WW au Maroc,305000
Dacia,Dokker,2018,Diesel,8,145000,5,Oui,Excellent,Manuelle,WW au Maroc,105000
Dacia,Dokker,2020,Diesel,6,165000,5,Non,Très bon,Manuelle,WW au Maroc,130000
Peugeot,3008,2022,Diesel,8,97000,5,Oui,Excellent,Automatique,WW au Maroc,268000
Renault,Kangoo,2018,Diesel,6,135000,5,Non,Très bon,Manuelle,WW au Maroc,115000
Renault,R5,1985,Diesel,6,225000,5,Non,Très bon,Manuelle,WW au Maroc,22000
BMW,Série 2,2023,Diesel,6,17000,5,Oui,Excellent,Automatique,WW au Maroc,379000
Dacia,Sandero,2012,Essence,5,57000,5,Non,Très bon,Manuelle,WW au Maroc,69000
Jaguar,XJ,1998,Essence,19,225000,5,Oui,Bon,Automatique,WW au Maroc,85000
Peugeot,3008,2020,Diesel,8,115000,5,Non,Excellent,Automatique,WW au Maroc,245000
Peugeot,2008,2020,Diesel,6,47000,5,Oui,Très bon,Automatique,WW au Maroc,225000
Mercedes-Benz,250,2013,Diesel,9,275000,5,Non,Très bon,Automatique,Dédouanée,185000
Peugeot,308,2008,Essence,8,105000,5,Non,Excellent,Manuelle,WW au Maroc,61000
MG,HS Phev,2012,Essence,6,175000,5,Non,Excellent,Manuelle,WW au Maroc,52000
Audi,A3,2019,Diesel,8,105000,5,Non,Excellent,Automatique,WW au Maroc,240000
Volkswagen,Touareg,2016,Diesel,12,195000,3,Oui,Excellent,Automatique,WW au Maroc,163000
BMW,X3,2020,Diesel,8,155000,5,Non,Excellent,Automatique,WW au Maroc,325000
Lancia,Delta,2015,Essence,8,97000,5,Non,Très bon,Manuelle,WW au Maroc,75000
Peugeot,308,2019,Diesel,7,2000,5,Oui,Excellent,Manuelle,WW au Maroc,160000
Volkswagen,Golf 5,2004,Diesel,8,37000,5,Non,Excellent,Manuelle,Dédouanée,68000
Renault,19,1996,Diesel,7,275000,5,Oui,Bon,Manuelle,Dédouanée,28000
Suzuki,Maruti,2008,Diesel,5,32000,5,Non,Correct,Manuelle,WW au Maroc,20000
Volkswagen,Polo,2013,Essence,5,165000,5,Non,Très bon,Manuelle,WW au Maroc,90000
Mercedes-Benz,Classe ML,2011,Diesel,12,225000,5,Non,Excellent,Automatique,WW au Maroc,125000
Fiat,500,2018,Essence,7,115000,3,Non,Très bon,Automatique,WW au Maroc,97500
Peugeot,206,2007,Essence,6,325000,5,Non,Bon,Manuelle,WW au Maroc,47000
Ford,Kuga,2011,Diesel,8,105000,5,Non,Très bon,Manuelle,Dédouanée,120000
Peugeot,Partner,2018,Diesel,7,135000,5,Non,Excellent,Manuelle,WW au Maroc,138000
Dacia,Sandero,2014,Diesel,6,17000,5,Oui,Très bon,Manuelle,WW au Maroc,110000
Nissan,Qashqai,2018,Diesel,6,125000,5,Oui,Excellent,Automatique,WW au Maroc,218000
Renault,Clio,2020,Hybride,9,135000,5,Oui,Excellent,Automatique,Dédouanée,195000
Peugeot,208,2021,Diesel,6,145000,5,Oui,Très bon,Manuelle,WW au Maroc,148000
Dacia,Lodgy,2021,Diesel,6,17000,5,Non,Excellent,Manuelle,WW au Maroc,135000
Volkswagen,T-Roc,2021,Diesel,8,62000,5,Oui,Excellent,Automatique,WW au Maroc,320000
Fiat,Tipo,2019,Diesel,7,7000,5,Non,Très bon,Manuelle,WW au Maroc,120000
Citroen,Jumper,2019,Diesel,9,135000,5,Oui,Très bon,Manuelle,WW au Maroc,185000
Hyundai,Sonata,2021,Hybride,11,82000,5,Non,Très bon,Automatique,WW au Maroc,279999
Mitsubishi,L200,2013,Diesel,10,27000,5,Non,Très bon,Manuelle,WW au Maroc,125000
Peugeot,306,1999,Diesel,7,22000,5,Non,Bon,Manuelle,Dédouanée,45000
Citroen,Berlingo,2022,Diesel,6,62000,5,Non,Excellent,Manuelle,WW au Maroc,186000
Ford,Focus,2012,Diesel,6,225000,5,Non,Très bon,Manuelle,WW au Maroc,103000
Renault,Clio,2002,Essence,6,225000,5,Oui,Bon,Manuelle,WW au Maroc,44000
DS,DS7,2019,Diesel,8,105000,5,Oui,Excellent,Automatique,WW au Maroc,280000
Nissan,Murano,2006,Essence,20,165000,5,Non,Correct,Automatique,WW au Maroc,41000
Peugeot,208,2019,Diesel,6,135000,5,Oui,Neuf,Manuelle,WW au Maroc,123000
Dacia,Sandero,2018,Diesel,6,105000,5,Oui,Excellent,Manuelle,WW au Maroc,125000
Citroen,C3,2021,Diesel,6,62000,5,Oui,Excellent,Manuelle,WW au Maroc,143000
Volkswagen,Tiguan,2017,Diesel,8,97000,5,Oui,Excellent,Automatique,Dédouanée,310000
Volkswagen,Golf 6,2015,Diesel,8,185000,5,Oui,Excellent,Manuelle,Dédouanée,113000
Fiat,500,2023,Essence,7,32000,5,Oui,Excellent,Automatique,WW au Maroc,153000
Volkswagen,Touareg,2008,Diesel,12,225000,5,Non,Très bon,Automatique,Dédouanée,73000
Dacia,Logan,2019,Diesel,6,125000,3,Non,Excellent,Manuelle,WW au Maroc,117000
Volkswagen,Golf 8,2023,Diesel,8,57000,5,Oui,Excellent,Automatique,WW au Maroc,320000
Hyundai,Creta,2016,Diesel,6,155000,5,Non,Très bon,Manuelle,WW au Maroc,150000
Skoda,Octavia,2018,Diesel,8,225000,5,Non,Excellent,Manuelle,WW au Maroc,168000
Renault,Megane,2018,Diesel,6,135000,5,Non,Neuf,Automatique,WW au Maroc,168000
Audi,Q5,2020,Diesel,8,185000,5,Oui,Bon,Automatique,WW au Maroc,360000
Peugeot,308,2019,Diesel,6,185000,5,Oui,Excellent,Manuelle,WW au Maroc,129000
Mercedes-Benz,220,2001,Diesel,9,275000,5,Oui,Bon,Manuelle,Dédouanée,73000
Volkswagen,Tiguan,2020,Diesel,8,225000,5,Oui,Excellent,Automatique,WW au Maroc,290000
Opel,Adam,2017,Essence,7,37000,3,Oui,Excellent,Manuelle,WW au Maroc,100000
Opel,Corsa,2020,Essence,7,105000,5,Non,Excellent,Manuelle,WW au Maroc,130000
Mercedes-Benz,220,2016,Diesel,8,145000,5,Oui,Excellent,Automatique,Dédouanée,295000
Peugeot,208,2023,Diesel,6,62000,3,Oui,Excellent,Manuelle,Dédouanée,160000
Mercedes-Benz,220,2003,Diesel,9,225000,5,Non,Très bon,Manuelle,Dédouanée,88000
Volkswagen,Golf 8,2022,Diesel,8,105000,5,Non,Excellent,Automatique,WW au Maroc,305000
Citroen,C3,2019,Diesel,6,175000,5,Non,Excellent,Manuelle,WW au Maroc,120000
Renault,Clio,2017,Diesel,7,145000,5,Non,Très bon,Automatique,WW au Maroc,123000
Volkswagen,Golf 8,2022,Diesel,8,62000,5,Oui,Excellent,Automatique,WW au Maroc,310000
Volvo,V40,2009,Essence,4,72000,3,Oui,Excellent,Manuelle,WW au Maroc,125000
Citroen,C-Elysée,2022,Diesel,6,87000,5,Oui,Excellent,Manuelle,WW au Maroc,128000
Dacia,Duster,2014,Diesel,6,165000,5,Non,Très bon,Manuelle,WW au Maroc,128000
Volkswagen,Tiguan,2017,Diesel,8,185000,5,Oui,Très bon,Automatique,WW au Maroc,230000
BMW,Série 4,2017,Diesel,8,155000,5,Non,Excellent,Automatique,WW au Maroc,279999
Volkswagen,Golf 4,2001,Diesel,8,185000,5,Non,Excellent,Manuelle,Dédouanée,78000
Citroen,C3,2021,Diesel,6,125000,5,Oui,Neuf,Manuelle,WW au Maroc,136000
Porsche,Cayenne,2011,Diesel,12,165000,5,Non,Excellent,Automatique,Importée neuve,220000
Seat,Arona,2022,Diesel,6,52000,5,Oui,Excellent,Manuelle,WW au Maroc,208000
Hyundai,Tucson,2018,Diesel,7,135000,5,Oui,Excellent,Manuelle,WW au Maroc,200000
Peugeot,208,2020,Diesel,6,115000,5,Oui,Excellent,Manuelle,WW au Maroc,148000
Porsche,Panamera,2010,Essence,28,185000,5,Non,Excellent,Automatique,WW au Maroc,160000
BMW,X1,2017,Diesel,8,87000,5,Oui,Excellent,Automatique,WW au Maroc,250000
Mini,Cooper,2016,Essence,11,105000,3,Non,Excellent,Automatique,WW au Maroc,215000
Peugeot,208,2023,Diesel,6,42000,5,Oui,Très bon,Manuelle,WW au Maroc,174000
BMW,Série 2,2016,Diesel,8,145000,3,Oui,Excellent,Automatique,WW au Maroc,230000
Audi,Q5,2014,Diesel,8,225000,5,Non,Excellent,Manuelle,WW au Maroc,178000
Citroen,AX,1992,Essence,5,155000,5,Non,Bon,Manuelle,WW au Maroc,12000
Fiat,Palio,2002,Essence,5,225000,5,Oui,Très bon,Manuelle,Pas encore dédouanée,28000
Renault,Clio,2023,Diesel,7,77000,5,Oui,Excellent,Manuelle,WW au Maroc,145000
Fiat,Palio,2025,Diesel,7,7000,3,Oui,Bon,Manuelle,WW au Maroc,33000
Dacia,Duster,2014,Diesel,6,12000,5,Non,Très bon,Manuelle,WW au Maroc,135000
Hyundai,i10,2019,Essence,6,82000,5,Non,Excellent,Manuelle,WW au Maroc,105000
Mercedes-Benz,Classe A,2019,Essence,11,42000,5,Oui,Excellent,Automatique,Importée neuve,280000
Dacia,Dokker,2020,Diesel,6,77000,5,Non,Excellent,Manuelle,WW au Maroc,130000
Dacia,Logan,2017,Diesel,6,17000,5,Non,Bon,Manuelle,WW au Maroc,85000
Ford,Kuga,2012,Diesel,8,225000,5,Non,Excellent,Manuelle,WW au Maroc,120000
Renault,19,1994,Essence,6,225000,5,Non,Très bon,Manuelle,Dédouanée,25000
Dacia,Sandero,2022,Diesel,6,125000,5,Oui,Très bon,Manuelle,WW au Maroc,147000
Renault,Clio,2023,Diesel,6,17000,5,Oui,Excellent,Manuelle,WW au Maroc,165000
Renault,Clio,2021,Diesel,6,62000,5,Oui,Excellent,Manuelle,WW au Maroc,138000
Volkswagen,Caddy,2011,Diesel,6,155000,3,Non,Très bon,Manuelle,WW au Maroc,118000
Citroen,Berlingo,2002,Diesel,7,32000,5,Non,Bon,Manuelle,WW au Maroc,52000
Ford,Kuga,2010,Essence,20,225000,5,Non,Excellent,Manuelle,WW au Maroc,110000
Volkswagen,Golf 7,2018,Diesel,8,92000,5,Oui,Excellent,Manuelle,WW au Maroc,170000
Hyundai,i20,2012,Essence,7,195000,5,Non,Très bon,Manuelle,WW au Maroc,70000
Mercedes-Benz,310D,1980,Diesel,10,325000,3,Non,Bon,Manuelle,Dédouanée,80000
Hyundai,ix35,2016,Diesel,7,165000,5,Non,Excellent,Manuelle,WW au Maroc,170000
Mercedes-Benz,190,1992,Diesel,10,47000,5,Non,Correct,Manuelle,WW au Maroc,54000
Mercedes-Benz,Classe GLC,2019,Diesel,8,115000,5,Oui,Très bon,Automatique,WW au Maroc,340000
Renault,Clio,2020,Diesel,6,105000,5,Non,Excellent,Automatique,WW au Maroc,142000
Dacia,Duster,2023,Diesel,6,22000,5,Oui,Excellent,Manuelle,WW au Maroc,220000
Volkswagen,Jetta,2017,Diesel,8,105000,5,Oui,Bon,Automatique,WW au Maroc,160000
Hyundai,Creta,2021,Diesel,6,135000,5,Oui,Excellent,Automatique,WW au Maroc,230000
Renault,Trafic,2018,Diesel,9,225000,5,Non,Excellent,Manuelle,WW au Maroc,175000
Volkswagen,Golf 5,2007,Diesel,8,115000,5,Oui,Excellent,Manuelle,Dédouanée,160000
Renault,Clio,2018,Diesel,6,155000,5,Non,Bon,Automatique,WW au Maroc,110000
Ford,Focus,2016,Diesel,6,155000,5,Non,Excellent,Manuelle,Importée neuve,148000
Fiat,500,2017,Essence,7,105000,3,Non,Excellent,Manuelle,WW au Maroc,100000
Mercedes-Benz,220,2001,Diesel,8,225000,5,Non,Bon,Automatique,Dédouanée,78000
Nissan,Qashqai,2011,Diesel,6,225000,5,Non,Très bon,Manuelle,WW au Maroc,130000
Jeep,Grand Cherokee,2019,Diesel,8,92000,5,Oui,Excellent,Automatique,WW au Maroc,239000
Mercedes-Benz,Classe C,2019,Diesel,6,135000,5,Non,Excellent,Automatique,Dédouanée,370000
Toyota,C-HR,2021,Hybride,10,97000,5,Oui,Très bon,Automatique,WW au Maroc,225000
Peugeot,308,2018,Diesel,6,135000,5,Non,Excellent,Manuelle,WW au Maroc,169000
Fiat,Tipo,2018,Diesel,6,82000,5,Non,Excellent,Manuelle,WW au Maroc,138000
Nissan,Qashqai,2016,Diesel,6,225000,5,Non,Excellent,Manuelle,WW au Maroc,175000
Seat,Arona,2023,Diesel,6,62000,5,Oui,Excellent,Manuelle,WW au Maroc,205000
Peugeot,208,2019,Diesel,6,125000,5,Oui,Excellent,Manuelle,WW au Maroc,133000
Renault,Koleos,2010,Diesel,8,165000,5,Non,Bon,Manuelle,WW au Maroc,80000
Mercedes-Benz,250,1988,Diesel,10,325000,5,Non,Correct,Manuelle,Dédouanée,34000
Fiat,Palio,1999,Essence,6,325000,5,Non,Très bon,Manuelle,WW au Maroc,28000
Land Rover,Freelander,2002,Diesel,8,225000,5,Non,Très bon,Manuelle,WW au Maroc,47000
Volkswagen,Passat,2022,Diesel,6,115000,5,Oui,Excellent,Automatique,Dédouanée,239000
Dacia,Duster,2012,Diesel,6,175000,5,Non,Très bon,Manuelle,WW au Maroc,112000
Mini,Cooper,2015,Diesel,6,125000,5,Non,Excellent,Automatique,WW au Maroc,150000
Peugeot,206,2000,Diesel,7,22000,5,Non,Correct,Manuelle,WW au Maroc,39000
Peugeot,3008,2018,Diesel,6,105000,5,Non,Très bon,Manuelle,WW au Maroc,205000
Peugeot,208,2014,Essence,6,17000,5,Non,Excellent,Manuelle,Importée neuve,85000
Skoda,Octavia,2012,Diesel,8,195000,5,Oui,Excellent,Manuelle,WW au Maroc,120000
Peugeot,301,2022,Diesel,6,82000,5,Oui,Très bon,Manuelle,WW au Maroc,122000
Nissan,Navara,2014,Diesel,9,165000,5,Non,Excellent,Automatique,Pas encore dédouanée,160000
Fiat,Doblo,2021,Diesel,5,82000,5,Non,Très bon,Manuelle,WW au Maroc,117000
Volkswagen,T-Roc,2022,Diesel,8,97000,5,Oui,Excellent,Automatique,WW au Maroc,320000
Renault,Megane,2017,Diesel,6,145000,5,Oui,Bon,Manuelle,WW au Maroc,142000
Seat,Leon,2024,Diesel,8,52000,5,Oui,Excellent,Manuelle,WW au Maroc,275000
Jeep,Compass,2021,Diesel,6,42000,5,Oui,Excellent,Manuelle,WW au Maroc,235000
Fiat,Doblo,2024,Diesel,5,2000,3,Oui,Neuf,Manuelle,WW au Maroc,118000
