Marque,Modèle,Année,Type de carburant,Puissance fiscale,Kilométrage,Nombre de portes,Première main,État,Boîte à vitesses,Origine,Prix
Volkswagen,Jetta,2019,Diesel,8 CV,95 000 - 99 999,5,Oui,Excellent,Automatique,WW au Maroc,187 000 DH
Renault,Kangoo,2007,Diesel,7 CV,200 000 - 249 999,5,Non,Excellent,Manuelle,Pas encore dédouanée,
Renault,Clio,2018,Diesel,6 CV,150 000 - 159 999,5,Non,Bon,Automatique,WW au Maroc,110 000 DH
Opel,Grandland,2019,Diesel,6 CV,110 000 - 119 999,5,Oui,Excellent,Manuelle,WW au Maroc,198 000 DH
Volkswagen,Golf 7,2018,Diesel,8 CV,150 000 - 159 999,5,Oui,Très bon,Automatique,WW au Maroc,197 000 DH
Fiat,Palio,2003,Diesel,7 CV,5 000 - 9 999,,,,Manuelle,,
Hyundai,Accent,2022,Diesel,6 CV,60 000 - 64 999,5,Oui,Excellent,Automatique,WW au Maroc,
BMW,Série 5,2017,Diesel,8 CV,120 000 - 129 999,5,Oui,Très bon,Automatique,WW au Maroc,275 000 DH
Hyundai,Santa Fe,2018,Diesel,9 CV,160 000 - 169 999,5,Oui,Bon,Automatique,WW au Maroc,
Peugeot,3008,2022,Diesel,8 CV,40 000 - 44 999,5,,Excellent,Automatique,WW au Maroc,
Audi,Q5,2019,Diesel,8 CV,160 000 - 169 999,5,Oui,Excellent,Automatique,WW au Maroc,
Mercedes-Benz,Classe GLC,2019,Diesel,9 CV,150 000 - 159 999,5,Non,Excellent,Automatique,Importée neuve,530 000 DH
Mercedes-Benz,Classe C,2016,Diesel,9 CV,170 000 - 179 999,,Non,Excellent,Automatique,WW au Maroc,
Volvo,XC40,2021,Essence,8 CV,35 000 - 39 999,5,Non,Excellent,Automatique,WW au Maroc,290 000 DH
Chevrolet,Alero,2012,Essence,4 CV,160 000 - 169 999,3,Non,Bon,Manuelle,WW au Maroc,51 000 DH
Citroen,Berlingo,2019,Diesel,7 CV,150 000 - 159 999,5,Non,Très bon,Manuelle,WW au Maroc,138 000 DH
Fiat,500,2023,Essence,7 CV,15 000 - 19 999,3,Oui,Excellent,Automatique,WW au Maroc,158 000 DH
Dacia,Sandero,2011,Diesel,6 CV,250 000 - 299 999,3,,Très bon,Manuelle,WW au Maroc,73 500 DH
Dacia,Dokker,2021,Diesel,6 CV,110 000 - 119 999,5,Oui,Excellent,Manuelle,WW au Maroc,
Volkswagen,Golf 3,1994,Diesel,8 CV,85 000 - 89 999,5,Non,Très bon,Manuelle,Importée neuve,40 000 DH
Renault,Express,2023,Diesel,6 CV,20 000 - 24 999,5,Oui,Excellent,Manuelle,WW au Maroc,175 000 DH
Renault,Megane,2020,Diesel,6 CV,120 000 - 129 999,5,Non,Très bon,Automatique,WW au Maroc,190 000 DH
Ssangyong,Actyon,2008,Diesel,8 CV,0 - 4 999,5,Non,Excellent,Manuelle,WW au Maroc,
Volkswagen,Tiguan,2021,Essence,12 CV,10 000 - 14 999,5,Oui,Excellent,Automatique,Importée neuve,550 000 DH
Ford,Kuga,2013,Diesel,8 CV,250 000 - 299 999,5,Non,Excellent,Manuelle,WW au Maroc,118 000 DH
Citroen,C4,2006,Diesel,6 CV,190 000 - 199 999,5,,Neuf,Manuelle,WW au Maroc,72 000 DH
Land Rover,Range Rover Sport,2021,Diesel,12 CV,60 000 - 64 999,5,Oui,Très bon,Automatique,WW au Maroc,
Ford,Focus,2008,Diesel,7 CV,250 000 - 299 999,5,Non,Très bon,Manuelle,WW au Maroc,82 000 DH
Volkswagen,Tiguan,2021,Diesel,8 CV,150 000 - 159 999,5,,Excellent,Automatique,Dédouanée,430 000 DH
Renault,Clio,2020,Diesel,6 CV,45 000 - 49 999,5,Oui,Excellent,Manuelle,WW au Maroc,
Seat,Arona,2022,Diesel,6 CV,75 000 - 79 999,5,Oui,Excellent,Manuelle,WW au Maroc,210 000 DH
Renault,Clio,2025,Essence,4 CV,10 000 - 14 999,5,Non,Bon,Manuelle,Dédouanée,25 000 DH
Audi,Q7,2017,Diesel,12 CV,160 000 - 169 999,5,Oui,Excellent,Automatique,WW au Maroc,
Fiat,Doblo,2010,Diesel,8 CV,300 000 - 349 999,5,Non,Excellent,Manuelle,Importée neuve,65 000 DH
Nissan,Qashqai,2022,Essence,8 CV,90 000 - 94 999,5,Non,Excellent,Automatique,WW au Maroc,255 000 DH
Toyota,C-HR,2021,Hybride,10 CV,50 000 - 54 999,5,Oui,Bon,Automatique,WW au Maroc,215 000 DH
Ford,Fiesta,2021,Diesel,6 CV,110 000 - 119 999,5,Oui,Très bon,Manuelle,WW au Maroc,
Ford,Focus,2008,Diesel,7 CV,250 000 - 299 999,5,Non,Bon,Manuelle,WW au Maroc,87 000 DH
Alfa Romeo,Giulietta,2017,Diesel,6 CV,80 000 - 84 999,,,,Manuelle,,155 000 DH
Seat,Toledo,2013,Diesel,6 CV,200 000 - 249 999,5,Non,Excellent,Manuelle,WW au Maroc,120 000 DH
Dacia,Logan,2021,Diesel,6 CV,180 000 - 189 999,5,Oui,Bon,Manuelle,WW au Maroc,105 000 DH
Renault,Kangoo,2017,Diesel,7 CV,190 000 - 199 999,5,Non,Très bon,Manuelle,WW au Maroc,122 000 DH
Peugeot,309,1987,Diesel,7 CV,30 000 - 34 999,5,Non,Bon,Manuelle,Dédouanée,24 000 DH
Volkswagen,T-Roc,2021,Diesel,8 CV,140 000 - 149 999,5,Non,Excellent,Automatique,WW au Maroc,260 000 DH
Toyota,Corolla,2019,Hybride,10 CV,55 000 - 59 999,5,,Excellent,Automatique,WW au Maroc,185 000 DH
Peugeot,208,2018,Diesel,6 CV,100 000 - 109 999,5,Non,Excellent,Manuelle,WW au Maroc,120 000 DH
Land Rover,Range Rover Sport,2017,Diesel,12 CV,120 000 - 129 999,5,,Excellent,Automatique,WW au Maroc,
Kia,Sportage,2022,Diesel,6 CV,75 000 - 79 999,5,,Excellent,Automatique,WW au Maroc,255 000 DH
Audi,Q5,2019,Diesel,8 CV,160 000 - 169 999,5,Oui,Excellent,Automatique,Dédouanée,500 000 DH
Toyota,C-HR,2021,Hybride,9 CV,100 000 - 109 999,5,Oui,Excellent,Automatique,WW au Maroc,183 000 DH
BMW,X5,2018,Diesel,8 CV,150 000 - 159 999,,,,Automatique,,282 000 DH
Peugeot,309,1987,Diesel,7 CV,450 000 - 499 999,5,Non,Bon,Manuelle,Dédouanée,30 000 DH
Fiat,Palio,2003,Diesel,7 CV,5 000 - 9 999,,,Excellent,Manuelle,,42 000 DH
Volkswagen,Tiguan,2017,Diesel,8 CV,150 000 - 159 999,5,Oui,Excellent,Automatique,Importée neuve,328 000 DH
Seat,Cordoba,2010,Diesel,6 CV,200 000 - 249 999,5,Non,Bon,Manuelle,WW au Maroc,68 000 DH
Peugeot,208,2021,Diesel,6 CV,85 000 - 89 999,5,Oui,Excellent,Manuelle,WW au Maroc,
Porsche,Macan,2018,Diesel,12 CV,130 000 - 139 999,5,Oui,Très bon,Automatique,WW au Maroc,
,,,,,,,,,,,93 000 DH
BMW,Série 7,2024,Diesel,12 CV,5 000 - 9 999,5,Oui,Excellent,Automatique,Importée neuve,
Renault,Clio,2021,Essence,6 CV,5 000 - 9 999,5,Oui,Neuf,Manuelle,WW au Maroc,
Kia,Picanto,2022,Essence,6 CV,50 000 - 54 999,5,Oui,Excellent,Manuelle,WW au Maroc,110 000 DH
Renault,Clio,2022,Essence,5 CV,35 000 - 39 999,5,Oui,Très bon,Manuelle,Pas encore dédouanée,170 000 DH
Mercedes-Benz,Classe A,2019,Diesel,7 CV,15 000 - 19 999,5,Non,Très bon,Automatique,Dédouanée,355 000 DH
Kia,Picanto,2022,Essence,6 CV,100 000 - 109 999,,Non,Très bon,Manuelle,,108 000 DH
Renault,Kadjar,2019,Diesel,6 CV,110 000 - 119 999,5,Oui,Excellent,Automatique,WW au Maroc,
Seat,Leon,2024,Diesel,8 CV,20 000 - 24 999,5,Oui,Neuf,Automatique,WW au Maroc,340 000 DH
Mercedes-Benz,Classe GLE,2022,Hybride,11 CV,30 000 - 34 999,5,Non,Excellent,Automatique,Dédouanée,940 000 DH
Ford,Focus,2016,Diesel,6 CV,160 000 - 169 999,5,Oui,Très bon,Manuelle,WW au Maroc,
Mercedes-Benz,Classe A,2009,Diesel,8 CV,130 000 - 139 999,5,Non,Bon,Manuelle,Dédouanée,98 000 DH
Nissan,Qashqai,2021,Diesel,6 CV,95 000 - 99 999,5,Oui,Excellent,Manuelle,WW au Maroc,225 000 DH
Hyundai,Tucson,2017,Diesel,6 CV,55 000 - 59 999,5,Oui,Excellent,Automatique,WW au Maroc,
Mercedes-Benz,Classe E,2016,Diesel,9 CV,200 000 - 249 999,5,Non,Très bon,Automatique,Dédouanée,
Nissan,X-Trail,2007,Diesel,9 CV,200 000 - 249 999,5,Non,Très bon,Manuelle,WW au Maroc,58 000 DH
Skoda,Fabia,2018,Essence,7 CV,110 000 - 119 999,5,Oui,Très bon,Manuelle,WW au Maroc,107 000 DH
Opel,Mokka,2024,Diesel,6 CV,45 000 - 49 999,5,Oui,Excellent,Manuelle,WW au Maroc,
Kia,Sorento,2005,Diesel,10 CV,200 000 - 249 999,5,Non,Excellent,Manuelle,WW au Maroc,53 000 DH
Nissan,Juke,2017,Diesel,6 CV,170 000 - 179 999,5,Oui,Très bon,Manuelle,WW au Maroc,150 000 DH
Volkswagen,Touareg,2022,Diesel,12 CV,120 000 - 129 999,5,Oui,Très bon,Automatique,WW au Maroc,
Audi,Q8,2020,Diesel,12 CV,140 000 - 149 999,5,Non,Excellent,Automatique,WW au Maroc,720 000 DH
Dacia,Logan,2019,Diesel,6 CV,50 000 - 54 999,5,Oui,Neuf,Manuelle,WW au Maroc,117 000 DH
Renault,Megane,2022,Diesel,6 CV,90 000 - 94 999,5,Oui,Très bon,Automatique,WW au Maroc,207 000 DH
Peugeot,208,2019,Diesel,6 CV,110 000 - 119 999,5,Non,Excellent,Manuelle,WW au Maroc,115 000 DH
Hyundai,Accent,2005,Diesel,6 CV,250 000 - 299 999,5,Non,,Manuelle,,40 000 DH
Peugeot,J5,1990,Essence,9 CV,0 - 4 999,5,Non,Bon,Manuelle,Dédouanée,45 000 DH
Fiat,Doblo,2009,Diesel,5 CV,75 000 - 79 999,5,,Très bon,Manuelle,,60 000 DH
Land Rover,Range Rover Sport,2021,Diesel,12 CV,170 000 - 179 999,5,Oui,Excellent,Automatique,WW au Maroc,
Hyundai,Accent,2012,Diesel,6 CV,200 000 - 249 999,,,Excellent,Automatique,,102 000 DH
Ford,Kuga,2020,Diesel,6 CV,5 000 - 9 999,5,Oui,Excellent,Manuelle,WW au Maroc,
Volkswagen,Golf 8,2022,Diesel,8 CV,120 000 - 129 999,5,Oui,Très bon,Automatique,WW au Maroc,307 000 DH
Audi,A4,2011,Diesel,8 CV,250 000 - 299 999,5,Non,Excellent,Automatique,WW au Maroc,135 000 DH
Renault,Megane,2021,Diesel,6 CV,80 000 - 84 999,5,Oui,Neuf,Automatique,WW au Maroc,200 000 DH
Ford,C-Max,2009,Diesel,7 CV,200 000 - 249 999,5,Non,Bon,Manuelle,WW au Maroc,75 000 DH
Mercedes-Benz,Classe C,2018,Diesel,6 CV,80 000 - 84 999,5,Non,Excellent,Automatique,WW au Maroc,290 000 DH
Mercedes-Benz,Classe CLA,2025,Diesel,8 CV,0 - 4 999,5,Oui,Neuf,Automatique,Importée neuve,
Ford,Kuga,2014,Diesel,8 CV,190 000 - 199 999,,Non,Excellent,Manuelle,,140 000 DH
Honda,CR-V,2015,Diesel,9 CV,200 000 - 249 999,,,Bon,Automatique,WW au Maroc,185 000 DH
Dacia,Dokker,2013,Diesel,6 CV,5 000 - 9 999,5,Non,Correct,Manuelle,WW au Maroc,
Renault,Clio,2019,Diesel,6 CV,120 000 - 129 999,5,Non,Excellent,Automatique,WW au Maroc,
Volkswagen,Tiguan,2017,Diesel,8 CV,180 000 - 189 999,5,Non,Très bon,Manuelle,WW au Maroc,
Toyota,Hilux,2018,Diesel,10 CV,200 000 - 249 999,5,Oui,Excellent,Manuelle,WW au Maroc,
Toyota,C-HR,2022,Hybride,10 CV,75 000 - 79 999,,,,Automatique,,259 000 DH
Citroen,C4,2006,Diesel,6 CV,250 000 - 299 999,5,Non,Excellent,Manuelle,WW au Maroc,62 000 DH
Audi,Q5,2018,Diesel,8 CV,140 000 - 149 999,5,Oui,Excellent,Automatique,Dédouanée,
Tesla,Model Y,2024,Electrique,9 CV,15 000 - 19 999,5,Oui,Excellent,Automatique,Pas encore dédouanée,370 000 DH
Mercedes-Benz,220,2002,Diesel,8 CV,20 000 - 24 999,5,Non,Excellent,Automatique,Dédouanée,100 000 DH
Fiat,Bravo,2010,Essence,8 CV,200 000 - 249 999,5,Oui,Excellent,Manuelle,WW au Maroc,60 000 DH
Dacia,Sandero,2020,Diesel,6 CV,60 000 - 64 999,5,Oui,Excellent,Manuelle,WW au Maroc,130 000 DH
Ford,Focus,2014,Diesel,6 CV,15 000 - 19 999,5,Non,,Manuelle,WW au Maroc,128 000 DH
BMW,Série 5,2014,Diesel,8 CV,140 000 - 149 999,5,Non,Très bon,Automatique,WW au Maroc,190 000 DH
Volkswagen,Polo,2017,Diesel,6 CV,110 000 - 119 999,5,Oui,Très bon,Manuelle,WW au Maroc,123 000 DH
Hyundai,Tucson,2017,Diesel,6 CV,120 000 - 129 999,5,Non,Excellent,Manuelle,WW au Maroc,192 000 DH
Kia,Picanto,2012,Essence,6 CV,110 000 - 119 999,5,Oui,Excellent,Manuelle,WW au Maroc,
Land Rover,Range Rover Sport,2012,Diesel,11 CV,200 000 - 249 999,5,Oui,Très bon,Automatique,,120 000 DH
Kia,Picanto,2023,Essence,6 CV,20 000 - 24 999,5,Non,Excellent,Automatique,Dédouanée,140 000 DH
Volkswagen,Golf 4,2001,Diesel,8 CV,45 000 - 49 999,5,Non,Excellent,Manuelle,Dédouanée,69 000 DH
Porsche,Macan,2014,Essence,17 CV,85 000 - 89 999,5,Non,Excellent,Automatique,Importée neuve,
Hyundai,Accent,2023,Diesel,6 CV,45 000 - 49 999,5,Oui,Excellent,Manuelle,WW au Maroc,173 000 DH
Peugeot,208,2022,Diesel,6 CV,160 000 - 169 999,,,Excellent,Manuelle,WW au Maroc,155 000 DH
Ford,Mondeo,2011,Diesel,8 CV,200 000 - 249 999,5,,Excellent,Automatique,WW au Maroc,95 000 DH
Audi,Q5,2017,Diesel,8 CV,180 000 - 189 999,5,Oui,Excellent,Automatique,WW au Maroc,305 000 DH
Mercedes-Benz,Classe C,2018,Diesel,9 CV,140 000 - 149 999,5,Oui,Excellent,Automatique,Dédouanée,400 000 DH
Jeep,Cherokee,2019,Diesel,9 CV,110 000 - 119 999,5,Oui,Excellent,Automatique,WW au Maroc,194 000 DH
Peugeot,208,2023,Diesel,6 CV,85 000 - 89 999,5,Oui,Excellent,Manuelle,WW au Maroc,
Toyota,Yaris,2018,Essence,6 CV,25 000 - 29 999,,,,Manuelle,,115 000 DH
Renault,Clio,2016,Diesel,6 CV,250 000 - 299 999,5,,,Manuelle,,113 000 DH
Renault,19,1993,Diesel,7 CV,30 000 - 34 999,5,Non,Bon,Manuelle,Dédouanée,38 000 DH
Peugeot,207,2008,Diesel,6 CV,170 000 - 179 999,5,Oui,Très bon,Manuelle,WW au Maroc,60 000 DH
Volkswagen,Polo,2016,Diesel,5 CV,20 000 - 24 999,5,Non,Excellent,Manuelle,WW au Maroc,110 000 DH
Volkswagen,Golf 7,2014,Diesel,6 CV,190 000 - 199 999,5,Non,Excellent,Manuelle,Dédouanée,168 000 DH
DS,DS7,2019,Diesel,8 CV,95 000 - 99 999,5,Oui,Excellent,Automatique,WW au Maroc,271 000 DH
Peugeot,Partner,2006,Diesel,6 CV,350 000 - 399 999,5,,Bon,Manuelle,WW au Maroc,53 000 DH
Mercedes-Benz,Classe GLC,2018,Diesel,9 CV,100 000 - 109 999,,,,Automatique,,340 000 DH
Audi,Q7,2018,Diesel,12 CV,110 000 - 119 999,5,Oui,Très bon,Automatique,WW au Maroc,
Dacia,Logan,2023,Diesel,6 CV,75 000 - 79 999,5,Oui,Excellent,Manuelle,WW au Maroc,
Dacia,Lodgy,2016,Diesel,6 CV,Plus de 500 000,5,Non,Très bon,Manuelle,WW au Maroc,92 000 DH
BMW,Série 1,2018,Diesel,6 CV,170 000 - 179 999,5,Oui,Très bon,Automatique,Dédouanée,219 999 DH
Ford,Kuga,2015,Diesel,8 CV,100 000 - 109 999,5,Non,Très bon,Manuelle,WW au Maroc,153 000 DH
Volkswagen,Touran,2025,Diesel,8 CV,200 000 - 249 999,3,Non,Excellent,Automatique,Dédouanée,
Mercedes-Benz,Classe CLA,2013,Diesel,9 CV,160 000 - 169 999,5,Non,Excellent,Automatique,WW au Maroc,200 000 DH
Volkswagen,T-Roc,2020,Diesel,6 CV,160 000 - 169 999,5,,Excellent,Manuelle,Dédouanée,272 000 DH
Audi,A6,2017,Diesel,8 CV,140 000 - 149 999,5,Non,Excellent,Automatique,WW au Maroc,240 000 DH
